antiguo / antigua	ancien / ancienne	[sound:ancien _ ancienne.mp3]
articulos y determinantes	articles et déterminants	[sound:articles et déterminants.mp3]
el/la/los o las	le /la /les	[sound:le _la _les.mp3]
uno/una/un@s	un /une /des	[sound:un _une _des.mp3]
este/esta/est@s	ce /cette /ces	[sound:ce _cette _ces.mp3]
mi/mis	mon /ma /mes	[sound:mon _ma _mes.mp3]
preguntas y respuestas	questions et réponses	[sound:questions et réponses.mp3]
quien	qui	[sound:qui.mp3]
cuándo	quand	[sound:quand.mp3]
dónde	où	[sound:où.mp3]
por qué	pourquoi	[sound:pourquoi.mp3]
cómo	comment	[sound:comment.mp3]
cuánto	combien	[sound:combien.mp3]
cuál	quel /quelle	[sound:quel _quelle.mp3]
sí	oui	[sound:oui.mp3]
no	non	[sound:non.mp3]
de acuerdo	d'accord	[sound:d'accord.mp3]
tal vez	peut-être	[sound:peut-être.mp3]
adjetivos frecuentes	adjectifs fréquents	[sound:adjectifs fréquents.mp3]
pesado/a	lourd(e)	[sound:lourd(e).mp3]
ligero/a	léger(e)	[sound:léger(e).mp3]
rápido	rapide(e)	[sound:rapide(e).mp3]
lento	lent(e)	[sound:lent(e).mp3]
feo/a	moche	[sound:moche.mp3]
simpático/a	sympa	[sound:sympa.mp3]
normal	normal(e)	[sound:normal(e).mp3]
soltero/a	célibataire	[sound:célibataire.mp3]
casado/a	marié(e)	[sound:marié(e).mp3]
divorciado/a	divorcé(e)	[sound:divorcé(e).mp3]
rico/a	riche	[sound:riche.mp3]
inteligente	intelligent(e)	[sound:intelligent(e).mp3]
idiota	bête	[sound:bête.mp3]
pésimo/a	nul(le)	[sound:nul(le).mp3]
peor	pire	[sound:pire.mp3]
corto/a	court(e)	[sound:court(e).mp3]
izquierdo/a	gauche	[sound:gauche.mp3]
derecho/a	droit(e)	[sound:droit(e).mp3]
adverbios frecuentes	adverbes fréquents	[sound:adverbes fréquents.mp3]
ayer	hier	[sound:hier.mp3]
hoy	aujourd'hui	[sound:aujourd'hui.mp3]
mañana	demain	[sound:demain.mp3]
ahora	maintenant	[sound:maintenant.mp3]
siempre	toujours	[sound:toujours.mp3]
muchas veces	souvent	[sound:souvent.mp3]
a veces	parfois	[sound:parfois.mp3]
jamás	jamais	[sound:jamais.mp3]
antes	avant	[sound:avant.mp3]
después	après	[sound:après.mp3]
aquí	ici	[sound:ici.mp3]
allí	là	[sound:là.mp3]
allá	là-bas	[sound:là-bas.mp3]
hasta	jusqu'à	[sound:jusqu'à.mp3]
encima	sur	[sound:sur.mp3]
debajo	sous	[sound:sous.mp3]
en, dentro	dans	[sound:dans.mp3]
en	en	[sound:en.mp3]
a	à	[sound:à.mp3]
por todos lados	partout	[sound:partout.mp3]
un poco	un peu	[sound:un peu.mp3]
mucho	beaucoup	[sound:beaucoup.mp3]
muy	très	[sound:très.mp3]
demasiado	trop	[sound:trop.mp3]
bastante	assez	[sound:assez.mp3]
más	plus	[sound:plus.mp3]
menos	moins	[sound:moins.mp3]
con	avec	[sound:avec.mp3]
sin	sans	[sound:sans.mp3]
también	aussi	[sound:aussi.mp3]
como	comme	[sound:comme.mp3]
aún, todavía	encore	[sound:encore.mp3]
realmente, de verdad	vraiment	[sound:vraiment.mp3]
casi	presque	[sound:presque.mp3]
el cabello	les cheveux	[sound:les cheveux.mp3]
la nariz	le nez	[sound:le nez.mp3]
el cuello	le cou	[sound:le cou.mp3]
el dedo	doigt	[sound:doigt.mp3]
la espalda	le dos	[sound:le dos.mp3]
la pierna	jambe	[sound:jambe.mp3]
el corazón	le coeur	[sound:le coeur.mp3]
la garganta	gorge	[sound:gorge.mp3]
la salud	la santé	[sound:la santé.mp3]
el hospital	l'hôpital	[sound:l'hôpital.mp3]
el resfriado	le froid	[sound:le froid.mp3]
la fiebre	la fièvre	[sound:la fièvre.mp3]
la receta	la recette	[sound:la recette.mp3]
el medicamento	le médicament	[sound:le médicament.mp3]
la farmacia	la pharmacie	[sound:la pharmacie.mp3]
los padres	parents	[sound:parents.mp3]
el padre (papá)	le père (papa)	[sound:le père (papa).mp3]
la madre (mamá)	la mère (maman)	[sound:la mère (maman).mp3]
la hermana	la sœur	[sound:la sœur.mp3]
los niños, hijos	enfants enfants	[sound:enfants enfants.mp3]
el hijo/a	le fils / la fille	[sound:le fils _ la fille.mp3]
los abuelos	les grands-parents	[sound:les grands-parents.mp3]
el abuelo (abuelito)	grand-père (grand-père)	[sound:grand-père (grand-père).mp3]
la abuela (abuelita)	grand-mère (mamie)	[sound:grand-mère (mamie).mp3]
la tía	la tante	[sound:la tante.mp3]
el primo/a	le cousin	[sound:le cousin.mp3]
el futuro	le futur	[sound:le futur.mp3]
el mes	mois	[sound:mois.mp3]
enero	janvier	[sound:janvier.mp3]
febrero	février	[sound:février.mp3]
marzo	mars	[sound:mars.mp3]
abril	avril	[sound:avril.mp3]
mayo	mai	[sound:mai.mp3]
junio	juin	[sound:juin.mp3]
julio	juillet	[sound:juillet.mp3]
agosto	août	[sound:août.mp3]
septiembre	septembre	[sound:septembre.mp3]
octubre	octobre	[sound:octobre.mp3]
noviembre	novembre	[sound:novembre.mp3]
diciembre	décembre	[sound:décembre.mp3]
la primavera	le printemps	[sound:le printemps.mp3]
el verano	l'été	[sound:l'été.mp3]
el otoño	l'automne	[sound:l'automne.mp3]
el invierno	l'hiver	[sound:l'hiver.mp3]
el lunes	lundi	[sound:lundi.mp3]
el martes	le mardi	[sound:le mardi.mp3]
el miércoles	mercredi	[sound:mercredi.mp3]
el jueves	jeudi	[sound:jeudi.mp3]
el viernes	le vendredi	[sound:le vendredi.mp3]
el sábado	samedi	[sound:samedi.mp3]
el domingo	le dimanche	[sound:le dimanche.mp3]
el fin de semana	la fin de semaine	[sound:la fin de semaine.mp3]
el mediodía	midi	[sound:midi.mp3]
fin de tarde	tard dans l'après-midi	[sound:tard dans l'après-midi.mp3]
la hora	l'heure	[sound:l'heure.mp3]
el segundo	le deuxième	[sound:le deuxième.mp3]
la fecha	date	[sound:date.mp3]
el fin	la fin	[sound:la fin.mp3]
el tiempo (el clima)	l'heure (la météo)	[sound:l'heure (la météo).mp3]
el clima	le climat	[sound:le climat.mp3]
la nube	le nuage	[sound:le nuage.mp3]
la lluvia	la pluie	[sound:la pluie.mp3]
la ropa	les vêtements	[sound:les vêtements.mp3]
la camisa	chemise	[sound:chemise.mp3]
la playera	la chemise	[sound:la chemise.mp3]
el suéter	pull	[sound:pull.mp3]
el pantalón	le pantalon	[sound:le pantalon.mp3]
la falda	jupe	[sound:jupe.mp3]
el calcetín	la chaussette	[sound:la chaussette.mp3]
el zapato	la chaussure	[sound:la chaussure.mp3]
la chaqueta	la veste	[sound:la veste.mp3]
el abrigo	le manteau	[sound:le manteau.mp3]
las gafas, lentes	lunettes, verres	[sound:lunettes, verres.mp3]
el reloj	la montre	[sound:la montre.mp3]
la bolsa	la bourse	[sound:la bourse.mp3]
el billete	le billet	[sound:le billet.mp3]
la moneda	monnaie	[sound:monnaie.mp3]
el pago	le paiement	[sound:le paiement.mp3]
el banco	la banque	[sound:la banque.mp3]
la cuenta	l'addition	[sound:l'addition.mp3]
el cajero automático	distributeur automatique	[sound:distributeur automatique.mp3]
la cartera	portefeuille	[sound:portefeuille.mp3]
las actividades	les activités	[sound:les activités.mp3]
el deporte	le sport	[sound:le sport.mp3]
el cinema	le cinéma	[sound:le cinéma.mp3]
la salida	la sortie	[sound:la sortie.mp3]
el bar	le bar	[sound:le bar.mp3]
el restaurante	le restaurant	[sound:le restaurant.mp3]
el tele	la télé	[sound:la télé.mp3]
la serie	la série	[sound:la série.mp3]
la canción	la chanson	[sound:la chanson.mp3]
los transportes	les transports	[sound:les transports.mp3]
la moto	la moto	[sound:la moto.mp3]
la bicicleta	le vélo	[sound:le vélo.mp3]
el taxi	le taxi	[sound:le taxi.mp3]
la estación	la station	[sound:la station.mp3]
el aeropuerto	l'aéroport	[sound:l'aéroport.mp3]
geografia y ciudades	géographie et villes	[sound:géographie et villes.mp3]
el mar	la mer	[sound:la mer.mp3]
la región	la région	[sound:la région.mp3]
la calle	la rue	[sound:la rue.mp3]
el ayuntamiento	la mairie	[sound:la mairie.mp3]
el supermercado	le supermarché	[sound:le supermarché.mp3]
la panadería	la boulangerie	[sound:la boulangerie.mp3]
la tienda	la boutique	[sound:la boutique.mp3]
el salón	le salon	[sound:le salon.mp3]
la habitación, recámara	la chambre, la chambre	[sound:la chambre, la chambre.mp3]
el cuartos de baño	la salle de bain	[sound:la salle de bain.mp3]
los baños, aseos	les salles de bain, toilettes	[sound:les salles de bain, toilettes.mp3]
el garaje	le garage	[sound:le garage.mp3]
el apartamento, piso	l'appartement, étage	[sound:l'appartement, étage.mp3]
el piso, planta	le sol, plante	[sound:le sol, plante.mp3]
la silla	la chaise	[sound:la chaise.mp3]
el armario	l'armoire	[sound:l'armoire.mp3]
la cama	le lit	[sound:le lit.mp3]
el sofá	le canapé	[sound:le canapé.mp3]
la comida	le repas	[sound:le repas.mp3]
la sed	soif	[sound:soif.mp3]
la bebida	la boisson	[sound:la boisson.mp3]
el agua	l'eau	[sound:l'eau.mp3]
el vino	le vin	[sound:le vin.mp3]
la cerveza	la bière	[sound:la bière.mp3]
el te	le thé	[sound:le thé.mp3]
el café	café	[sound:café.mp3]
el jugo	le jus	[sound:le jus.mp3]
la fruta	le fruit	[sound:le fruit.mp3]
la verdura	légume	[sound:légume.mp3]
la carne	la viande	[sound:la viande.mp3]
el pescado	le poisson	[sound:le poisson.mp3]
el huevo	l'oeuf	[sound:l'oeuf.mp3]
el pan	pain	[sound:pain.mp3]
la comida, almuerzo	la nourriture, le déjeuner	[sound:la nourriture, le déjeuner.mp3]
el plato	l'assiette	[sound:l'assiette.mp3]
el cuchillo	couteau	[sound:couteau.mp3]
el tenedor	la fourchette	[sound:la fourchette.mp3]
la cuchara	la cuillère	[sound:la cuillère.mp3]
la botella	la bouteille	[sound:la bouteille.mp3]
la reservación	la réservation	[sound:la réservation.mp3]
el menú	le menu	[sound:le menu.mp3]
la entrada	l'entrée	[sound:l'entrée.mp3]
el plato fuerte	le plat principal	[sound:le plat principal.mp3]
el postre	le dessert	[sound:le dessert.mp3]
los estudios	les études	[sound:les études.mp3]
la clase	classe	[sound:classe.mp3]
el diploma	le diplome	[sound:le diplome.mp3]
la empresa	l'entreprise	[sound:l'entreprise.mp3]
el colega	le collègue	[sound:le collègue.mp3]
la junta	planche	[sound:planche.mp3]
la entrevista	l'interview	[sound:l'interview.mp3]
el contrato	le contrat	[sound:le contrat.mp3]
el sueldo	le salaire	[sound:le salaire.mp3]
las vacaciones	les vacances	[sound:les vacances.mp3]
la profesión	la profession	[sound:la profession.mp3]
el empleado	l'employé	[sound:l'employé.mp3]
el director	le directeur	[sound:le directeur.mp3]
el profesor	professeur	[sound:professeur.mp3]
el vendedor	le vendeur	[sound:le vendeur.mp3]
el ingeniero	l'ingénieur	[sound:l'ingénieur.mp3]
el bombero	le pompier	[sound:le pompier.mp3]
el jubilado	le retraité	[sound:le retraité.mp3]
la gente y las relaciones	les gens et les relations	[sound:les gens et les relations.mp3]
la persona	personne	[sound:personne.mp3]
la gente	les gens	[sound:les gens.mp3]
alguien	quelqu'un	[sound:quelqu'un.mp3]
la niña	la petite fille	[sound:la petite fille.mp3]
el hombre	l'homme	[sound:l'homme.mp3]
el amigo	l'ami	[sound:l'ami.mp3]
el sentimiento	sentiment	[sound:sentiment.mp3]
el novio/a	le petit ami / petite amie	[sound:le petit ami _ petite amie.mp3]
la pareja	le couple	[sound:le couple.mp3]
la boda,matrimonio	le mariage, le mariage	[sound:le mariage, le mariage.mp3]
la esposa. esposa	femme. épouse	[sound:femme. épouse.mp3]
las etapas de la vida	les étapes de la vie	[sound:les étapes de la vie.mp3]
la vida	la vie	[sound:la vie.mp3]
la edad	l'âge	[sound:l'âge.mp3]
el nacimiento	la naissance	[sound:la naissance.mp3]
el adolescente	l'adolescent	[sound:l'adolescent.mp3]
el adulto	l'adulte	[sound:l'adulte.mp3]
la comunicación	la communication	[sound:la communication.mp3]
la platica	le discours	[sound:le discours.mp3]
el móvil	le mobile	[sound:le mobile.mp3]
el mensaje de texto	message texte	[sound:message texte.mp3]
el sonido	sonner	[sound:sonner.mp3]
la computadora	l'ordinateur	[sound:l'ordinateur.mp3]
el correo electrónico	le courriel	[sound:le courriel.mp3]
el correo	le courrier	[sound:le courrier.mp3]
la hoja	la feuille	[sound:la feuille.mp3]
la pluma	stylo	[sound:stylo.mp3]
el sobre	enveloppe	[sound:enveloppe.mp3]
el timbre	la sonnette	[sound:la sonnette.mp3]
la oficina de correos	la poste	[sound:la poste.mp3]
la emergencia	l'urgence	[sound:l'urgence.mp3]
cuidado	fais attention	[sound:fais attention.mp3]
ayuda!	aidez-moi!	[sound:aidez-moi!.mp3]
la necesidad	la nécessité	[sound:la nécessité.mp3]
socorro	au secours	[sound:au secours.mp3]
el pasaporte	le passeport	[sound:le passeport.mp3]
el robo	le vol	[sound:le vol.mp3]
los conectores	les connecteurs	[sound:les connecteurs.mp3]
y	et	[sound:et.mp3]
primero	d'abord	[sound:d'abord.mp3]
después, luego	ensuite	[sound:ensuite.mp3]
por último	enfin	[sound:enfin.mp3]
pero	mais	[sound:mais.mp3]
porque	parce que	[sound:parce que.mp3]
pues	donc	[sound:donc.mp3]
entonces	alors	[sound:alors.mp3]
por ejemplo	par exemple	[sound:par exemple.mp3]
por cierto	au fait	[sound:au fait.mp3]
si no	sinon	[sound:sinon.mp3]
nada	rien	[sound:rien.mp3]
cosa	chose	[sound:chose.mp3]
algo	quelque , chose	[sound:quelque , chose.mp3]
vez	fois	[sound:fois.mp3]
parte	partie	[sound:partie.mp3]
razón	raison	[sound:raison.mp3]
palabrotas	gros mots	[sound:gros mots.mp3]
mierda	merde	[sound:merde.mp3]
joder, puta	putain	[sound:putain.mp3]
